img_name,label,xmin,ymin,xmax,ymax
500.png,1,128,104,193,158
501.png,2,150,31,196,72
502.png,1,33,134,88,194
503.png,2,144,140,197,205
504.png,1,152,19,220,78
505.png,2,164,66,213,112
506.png,1,20,96,79,150
507.png,2,145,209,182,249
508.png,1,104,77,163,135
509.png,2,21,17,82,68
510.png,1,61,91,115,143
511.png,2,52,124,94,169
512.png,1,73,39,136,90
513.png,2,86,127,150,188
514.png,1,165,82,215,125
515.png,2,167,62,232,113
516.png,1,65,54,115,121
517.png,2,173,96,216,134
518.png,1,120,136,178,187
519.png,2,25,118,84,170
520.png,1,29,103,73,145
521.png,2,93,170,140,218
522.png,1,18,58,63,112
523.png,2,49,134,94,180
524.png,1,112,16,171,83
525.png,2,119,189,172,241
526.png,1,57,143,100,182
527.png,2,66,68,111,110
528.png,1,165,160,209,207
529.png,2,141,110,199,166
530.png,1,33,73,88,144
531.png,2,191,26,234,89
532.png,1,145,12,198,61
533.png,2,109,149,173,210
534.png,1,42,164,88,229
535.png,2,115,181,150,230
536.png,1,145,182,206,247
537.png,2,20,107,76,158
538.png,1,48,193,114,243
539.png,2,110,205,148,245
540.png,1,87,109,138,167
541.png,2,39,13,92,69
542.png,1,167,133,218,205
543.png,2,182,125,241,180
544.png,1,182,18,227,66
545.png,2,57,119,96,160
546.png,1,17,41,58,77
547.png,2,192,6,240,66
548.png,1,184,22,244,84
549.png,2,103,72,167,119
550.png,1,183,184,229,233
551.png,2,25,191,70,246
552.png,1,139,176,186,220
553.png,2,93,28,133,75
554.png,1,30,140,82,191
555.png,2,67,94,123,143
556.png,1,82,212,130,249
557.png,2,80,144,122,185
558.png,1,11,113,72,165
559.png,2,107,94,144,140
560.png,1,29,145,96,203
561.png,2,16,47,82,97
562.png,1,17,21,62,76
563.png,2,9,10,70,62
564.png,1,17,87,78,131
565.png,2,34,103,84,148
566.png,1,8,169,51,205
567.png,2,50,109,84,155
568.png,1,105,86,161,138
569.png,2,65,73,104,122
570.png,1,57,94,116,152
571.png,2,35,111,84,155
572.png,1,162,15,211,65
573.png,2,38,72,92,137
574.png,1,191,55,239,97
575.png,2,22,159,77,206
576.png,1,16,55,79,113
577.png,2,149,107,199,177
578.png,1,185,171,219,229
579.png,2,106,57,173,111
580.png,1,156,188,195,230
581.png,2,153,183,203,244
582.png,1,126,22,171,76
583.png,2,107,45,157,89
584.png,1,10,70,60,113
585.png,2,127,162,186,210
586.png,1,102,7,146,44
587.png,2,25,142,83,208
588.png,1,159,77,211,148
589.png,2,65,149,109,194
590.png,1,15,118,80,176
591.png,2,191,48,226,98
592.png,1,26,120,71,176
593.png,2,89,58,141,123
594.png,1,181,88,249,142
595.png,2,20,11,69,76
596.png,1,158,63,210,136
597.png,2,143,38,191,105
598.png,1,137,6,198,62
599.png,2,85,210,137,249
600.png,1,60,98,109,158
601.png,2,146,131,194,182
602.png,1,157,154,201,214
603.png,2,166,161,204,201
604.png,1,202,119,241,160
605.png,2,90,82,137,129
606.png,1,134,139,189,185
607.png,2,181,172,215,218
608.png,1,36,167,95,235
609.png,2,147,169,204,239
610.png,1,151,188,202,231
611.png,2,5,19,47,54
612.png,1,174,29,228,76
613.png,2,15,162,57,199
614.png,1,105,8,153,63
615.png,2,167,115,220,160
616.png,1,64,73,107,117
617.png,2,77,34,125,112
618.png,1,21,20,63,59
619.png,2,187,146,240,213
620.png,1,39,115,91,159
621.png,2,189,78,225,129
622.png,1,85,17,134,83
623.png,2,91,16,143,63
624.png,1,116,87,163,124
625.png,2,109,93,169,148
626.png,1,145,169,182,221
627.png,2,72,186,117,242
628.png,1,169,113,207,151
629.png,2,140,84,177,129
630.png,1,171,38,216,86
631.png,2,8,11,63,74
632.png,1,60,128,108,169
633.png,2,129,163,187,227
634.png,1,171,6,226,62
635.png,2,75,125,133,190
636.png,1,152,69,214,131
637.png,2,6,136,53,193
638.png,1,12,104,70,155
639.png,2,49,90,93,129
640.png,1,139,48,186,88
641.png,2,156,149,195,203
642.png,1,140,21,194,79
643.png,2,61,43,115,81
644.png,1,181,154,221,191
645.png,2,156,31,203,78
646.png,1,59,116,114,168
647.png,2,123,12,167,50
648.png,1,78,142,135,193
649.png,2,66,12,122,58
650.png,1,185,94,246,151
651.png,2,152,148,211,199
652.png,1,168,7,211,56
653.png,2,50,101,105,161
654.png,1,161,127,221,179
655.png,2,11,46,79,101
656.png,1,79,45,145,94
657.png,2,102,22,160,74
658.png,1,34,12,85,66
659.png,2,20,118,69,189
660.png,1,139,49,193,99
661.png,2,171,73,223,121
662.png,1,60,189,106,222
663.png,2,115,122,167,167
664.png,1,115,134,170,188
665.png,2,181,149,238,217
666.png,1,172,10,229,68
667.png,2,164,88,231,145
668.png,1,148,62,207,119
669.png,2,195,112,249,154
670.png,1,70,33,115,76
671.png,2,149,89,208,147
672.png,1,144,128,208,181
673.png,2,135,170,179,241
674.png,1,135,56,187,111
675.png,2,169,103,225,158
676.png,1,149,21,198,72
677.png,2,202,133,244,176
678.png,1,69,168,127,234
679.png,2,185,131,237,180
680.png,1,47,175,109,226
681.png,2,18,191,84,250
682.png,1,33,10,74,58
683.png,2,65,25,121,75
684.png,1,85,7,133,57
685.png,2,86,143,135,208
686.png,1,169,182,217,225
687.png,2,73,33,122,73
688.png,1,33,53,92,105
689.png,2,129,56,174,97
690.png,1,11,71,51,109
691.png,2,39,107,90,154
692.png,1,58,115,93,158
693.png,2,54,21,109,68
694.png,1,178,53,222,98
695.png,2,180,155,229,199
696.png,1,175,98,214,138
697.png,2,113,63,178,121
698.png,1,57,9,108,57
699.png,2,135,73,175,125
700.png,1,139,142,187,194
701.png,2,30,152,87,221
702.png,1,6,19,61,66
703.png,2,197,184,238,220
704.png,1,93,72,127,117
705.png,2,140,93,189,135
706.png,1,169,23,220,64
707.png,2,133,89,176,126
708.png,1,47,65,102,117
709.png,2,104,48,160,106
710.png,1,66,13,115,57
711.png,2,187,140,248,193
712.png,1,175,25,241,81
713.png,2,185,42,226,93
714.png,1,60,113,117,172
715.png,2,146,145,201,195
716.png,1,118,170,167,222
717.png,2,156,118,228,173
718.png,1,80,106,142,166
719.png,2,182,165,232,215
720.png,1,92,78,136,120
721.png,2,88,117,152,173
722.png,1,144,80,206,140
723.png,2,189,115,244,171
724.png,1,83,159,152,217
725.png,2,147,147,206,196
726.png,1,61,169,115,208
727.png,2,36,125,93,176
728.png,1,172,172,219,238
729.png,2,77,14,134,75
730.png,1,84,86,130,126
731.png,2,14,59,70,106
732.png,1,55,149,117,193
733.png,2,65,34,109,78
734.png,1,115,55,165,112
735.png,2,157,72,218,134
736.png,1,79,37,121,78
737.png,2,124,60,187,116
738.png,1,106,190,151,235
739.png,2,48,13,109,70
740.png,1,172,106,221,147
741.png,2,7,167,47,208
742.png,1,156,202,192,245
743.png,2,21,50,73,114
744.png,1,29,89,77,155
745.png,2,28,89,77,126
746.png,1,102,163,149,209
747.png,2,22,83,71,144
748.png,1,84,183,131,229
749.png,2,100,34,136,79
750.png,1,149,98,219,155
751.png,2,196,13,246,75
752.png,1,191,115,240,180
753.png,2,35,77,96,130
754.png,1,192,112,246,161
755.png,2,166,12,209,47
756.png,1,147,76,184,128
757.png,2,48,166,102,240
758.png,1,94,21,154,72
759.png,2,200,106,247,149
760.png,1,86,142,135,183
761.png,2,52,162,99,232
762.png,1,73,90,122,156
763.png,2,155,107,199,147
764.png,1,13,127,86,179
765.png,2,104,177,155,226
766.png,1,34,74,97,128
767.png,2,63,145,123,196
768.png,1,108,149,173,210
769.png,2,23,13,66,60
770.png,1,89,80,138,146
771.png,2,146,162,204,210
772.png,1,114,133,170,194
773.png,2,10,182,62,232
774.png,1,126,100,179,148
775.png,2,89,61,142,115
776.png,1,52,194,106,242
777.png,2,86,166,144,228
778.png,1,163,37,224,92
779.png,2,158,59,224,113
780.png,1,142,42,213,95
781.png,2,98,137,148,179
782.png,1,18,104,57,143
783.png,2,137,166,177,205
784.png,1,152,136,209,191
785.png,2,107,11,142,54
786.png,1,51,51,114,104
787.png,2,36,31,93,91
788.png,1,106,25,146,71
789.png,2,137,16,203,71
790.png,1,112,52,150,100
791.png,2,130,35,194,88
792.png,1,171,177,227,230
793.png,2,32,33,71,80
794.png,1,154,163,192,203
795.png,2,113,192,173,244
796.png,1,137,78,196,138
797.png,2,58,181,116,236
798.png,1,48,15,91,67
799.png,2,157,91,213,142
800.png,1,87,153,139,197
801.png,2,137,17,171,67
802.png,1,7,162,52,207
803.png,2,5,41,63,96
804.png,1,110,28,159,64
805.png,2,185,114,227,155
806.png,1,5,53,52,98
807.png,2,104,35,150,97
808.png,1,6,114,47,152
809.png,2,176,93,237,147
810.png,1,17,51,50,105
811.png,2,163,160,204,196
812.png,1,157,178,201,231
813.png,2,66,81,107,127
814.png,1,45,36,94,87
815.png,2,199,176,244,216
816.png,1,153,129,223,180
817.png,2,59,49,105,89
818.png,1,13,143,68,197
819.png,2,11,56,73,104
820.png,1,177,102,228,157
821.png,2,53,118,104,181
822.png,1,191,99,234,171
823.png,2,134,187,193,243
824.png,1,14,151,85,202
825.png,2,181,113,241,167
826.png,1,39,19,87,63
827.png,2,137,39,186,79
828.png,1,183,48,239,95
829.png,2,196,24,234,82
830.png,1,53,74,115,125
831.png,2,156,55,212,106
832.png,1,156,185,206,230
833.png,2,44,53,81,104
834.png,1,79,71,134,120
835.png,2,126,193,180,243
836.png,1,91,187,135,250
837.png,2,13,47,67,98
838.png,1,50,32,114,91
839.png,2,30,57,70,104
840.png,1,133,170,201,227
841.png,2,76,133,127,182
842.png,1,27,109,92,163
843.png,2,31,15,81,66
844.png,1,67,180,125,247
845.png,2,107,191,154,242
846.png,1,134,146,179,215
847.png,2,28,111,95,166
848.png,1,43,100,93,154
849.png,2,32,58,82,99
850.png,1,175,141,219,204
851.png,2,148,159,203,232
852.png,1,192,171,250,231
853.png,2,170,148,218,197
854.png,1,7,100,53,164
855.png,2,182,119,245,167
856.png,1,66,178,115,225
857.png,2,74,67,119,106
858.png,1,148,12,210,73
859.png,2,95,54,152,101
860.png,1,28,177,75,219
861.png,2,162,200,212,247
862.png,1,132,164,190,222
863.png,2,199,170,238,215
864.png,1,28,169,68,209
865.png,2,83,70,136,134
866.png,1,96,197,131,240
867.png,2,74,79,139,137
868.png,1,108,119,156,168
869.png,2,53,23,96,69
870.png,1,21,120,79,176
871.png,2,56,32,125,89
872.png,1,168,125,233,179
873.png,2,190,110,247,178
874.png,1,40,167,104,225
875.png,2,197,122,242,187
876.png,1,43,212,85,247
877.png,2,81,168,128,216
878.png,1,127,60,171,120
879.png,2,91,31,144,82
880.png,1,110,189,155,229
881.png,2,138,19,196,72
882.png,1,122,36,158,78
883.png,2,99,122,156,181
884.png,1,135,80,194,124
885.png,2,136,57,186,103
886.png,1,177,155,239,207
887.png,2,25,148,87,203
888.png,1,159,195,224,250
889.png,2,155,151,203,198
890.png,1,173,172,223,230
891.png,2,113,158,152,214
892.png,1,147,93,208,148
893.png,2,142,112,185,164
894.png,1,97,57,160,121
895.png,2,99,145,160,199
896.png,1,75,52,130,115
897.png,2,91,143,149,202
898.png,1,50,12,111,66
899.png,2,90,144,135,198
900.png,1,188,167,244,226
901.png,2,62,54,100,107
902.png,1,102,168,153,238
903.png,2,15,152,62,195
904.png,1,152,27,206,82
905.png,2,124,15,168,70
906.png,1,68,66,132,122
907.png,2,43,98,103,161
908.png,1,104,54,145,98
909.png,2,138,94,184,136
910.png,1,145,87,194,135
911.png,2,78,163,119,230
912.png,1,77,139,116,179
913.png,2,118,46,155,96
914.png,1,186,165,232,207
915.png,2,160,175,199,215
916.png,1,53,111,108,161
917.png,2,154,57,206,106
918.png,1,11,185,69,238
919.png,2,14,67,76,130
920.png,1,169,65,225,125
921.png,2,113,102,164,156
922.png,1,162,160,207,215
923.png,2,68,177,107,219
924.png,1,173,78,221,139
925.png,2,99,116,154,177
926.png,1,109,180,165,232
927.png,2,159,84,203,129
928.png,1,97,162,133,202
929.png,2,126,100,184,158
930.png,1,99,27,140,64
931.png,2,152,123,198,164
932.png,1,44,97,99,144
933.png,2,24,142,72,187
934.png,1,96,187,159,237
935.png,2,20,42,71,112
936.png,1,23,145,56,191
937.png,2,104,128,161,185
938.png,1,72,88,118,123
939.png,2,129,49,176,87
940.png,1,141,75,190,126
941.png,2,87,121,130,158
942.png,1,186,123,222,167
943.png,2,48,191,104,245
944.png,1,80,127,123,169
945.png,2,87,82,134,148
946.png,1,151,58,188,98
947.png,2,87,11,154,69
948.png,1,137,16,202,73
949.png,2,31,108,82,157
950.png,1,25,79,82,135
951.png,2,156,23,205,85
952.png,1,132,105,180,148
953.png,2,133,128,181,173
954.png,1,111,156,167,211
955.png,2,199,57,236,102
956.png,1,84,14,131,57
957.png,2,152,191,194,226
958.png,1,90,83,142,156
959.png,2,34,73,84,116
960.png,1,90,30,141,75
961.png,2,160,80,205,125
962.png,1,46,188,90,230
963.png,2,173,65,237,119
964.png,1,56,107,94,170
965.png,2,54,134,109,193
966.png,1,84,104,132,145
967.png,2,44,166,113,223
968.png,1,95,136,140,181
969.png,2,101,151,161,210
970.png,1,55,14,106,61
971.png,2,106,78,150,119
972.png,1,25,31,73,105
973.png,2,92,119,150,162
974.png,1,124,128,160,172
975.png,2,73,165,116,206
976.png,1,169,19,221,60
977.png,2,114,136,181,189
978.png,1,13,20,45,72
979.png,2,25,97,65,136
980.png,1,25,52,94,101
981.png,2,30,52,88,107
982.png,1,37,8,87,61
983.png,2,112,198,158,237
984.png,1,146,137,201,186
985.png,2,29,118,73,173
986.png,1,10,132,66,184
987.png,2,126,22,181,71
988.png,1,134,88,191,153
989.png,2,133,27,168,71
990.png,1,184,21,245,83
991.png,2,56,111,106,155
992.png,1,36,183,96,238
993.png,2,99,142,158,197
994.png,1,114,155,158,194
995.png,2,171,101,214,147
996.png,1,42,57,83,96
997.png,2,47,54,86,109
998.png,1,43,125,90,166
999.png,2,191,99,249,152